91.9489600000	0.0005077355	0.7290520000	100.0000000000
91.9489600000	0.0005078230	0.7358430000	100.0000000000
629.6467350000	0.0000075219	4.1297090000	1000.0000000000
28.0421520000	0.0038513794	0.2266640000	30.0000000000
41.1884730000	0.0020159528	0.2915180000	44.0000000000
60.4832430000	0.0010552290	0.3800140000	65.0000000000
88.4160050000	0.0005446180	0.4924970000	96.0000000000
128.1474070000	0.0002837652	0.7572340000	142.0000000000
183.9449080000	0.0001447162	0.8748940000	210.0000000000
259.3146700000	0.0000705010	1.1578150000	310.0000000000
358.4543430000	0.0000349449	1.5416330000	458.0000000000
482.9430430000	0.0000160034	2.0093290000	677.0000000000
629.6467350000	0.0000075219	2.5690240000	1000.0000000000
