48.8452060000	0.0013288915	0.0359410000	50.0000000000
67.7496900000	0.0007538033	0.0425770000	69.0000000000
95.5781970000	0.0004237928	0.0543850000	97.0000000000
133.2711290000	0.0002391070	0.0758510000	135.0000000000
186.6920520000	0.0001327403	0.1061070000	189.0000000000
260.6185550000	0.0000739832	0.1298660000	264.0000000000
362.6081560000	0.0000413757	0.1897640000	368.0000000000
503.8514260000	0.0000235803	0.2265360000	513.0000000000
699.8634850000	0.0000134254	0.3006820000	716.0000000000
970.9616820000	0.0000077226	0.4140710000	1000.0000000000
970.9616820000	0.0000070915	0.5594270000	1000.0000000000
1998.2329710000	0.0000020294	1.1048970000	2000.0000000000
2997.3171870000	0.0000009487	1.6365780000	3000.0000000000
3996.0203590000	0.0000005558	2.1221630000	4000.0000000000
4994.3470060000	0.0000003652	2.5871850000	5000.0000000000
5992.2898880000	0.0000002588	3.0887540000	6000.0000000000
6989.8824250000	0.0000001914	3.5833790000	7000.0000000000
7987.0508380000	0.0000001483	3.8093180000	8000.0000000000
8983.8329870000	0.0000001181	4.3392410000	9000.0000000000
9980.4162430000	0.0000001961	2.2481380000	10000.0000000000
