25.334116	0.0032668617	0.042998	0.0100000000	0.326686	50.000000
36.668425	0.0015708543	0.047311	0.0046415888	0.338430	80.000000
54.123688	0.0007539267	0.053429	0.0021544347	0.349942	134.000000
80.322091	0.0003611570	0.065516	0.0010000000	0.361157	229.000000
119.194724	0.0001824555	0.076980	0.0004641589	0.393088	396.000000
176.384629	0.0000863487	0.088934	0.0002154435	0.400795	678.000000
259.623299	0.0000391353	0.105000	0.0001000000	0.391353	1113.000000
383.519633	0.0000174010	0.108025	0.0000464159	0.374893	1734.000000
553.926354	0.0000079110	0.132343	0.0000215443	0.367196	2505.000000
816.388101	0.0000030323	0.153745	0.0000100000	0.303230	3493.000000
