25.334116	0.0031167894	0.067578	0.0100000000	0.311679
36.668425	0.0014981852	0.046393	0.0046415888	0.322774
54.123688	0.0007048274	0.060874	0.0021544347	0.327152
80.322091	0.0003319813	0.085407	0.0010000000	0.331981
119.194724	0.0001565444	0.114990	0.0004641589	0.337265
176.384629	0.0000726991	0.168711	0.0002154435	0.337439
259.623299	0.0000335587	0.214218	0.0001000000	0.335587
383.519633	0.0000153692	0.287958	0.0000464159	0.331119
553.926354	0.0000070367	0.408444	0.0000215443	0.326615
816.388101	0.0000026673	0.560892	0.0000100000	0.266730
