25.790225	0.0030497587	0.019439	0.0100000000	0.304976	55.000000
37.739415	0.0014215273	0.022103	0.0046415888	0.306259	92.000000
55.988631	0.0006357963	0.035401	0.0021544347	0.295111	161.000000
83.285190	0.0002941127	0.042030	0.0010000000	0.294113	298.000000
123.359905	0.0001345485	0.045643	0.0004641589	0.289876	566.000000
182.101720	0.0000631197	0.046989	0.0002154435	0.292976	1088.000000
267.049210	0.0000297165	0.049094	0.0001000000	0.297165	2066.000000
392.311962	0.0000134677	0.046521	0.0000464159	0.290153	3749.000000
562.186971	0.0000061425	0.047979	0.0000215443	0.285110	5977.000000
818.385310	0.0000025533	0.056119	0.0000100000	0.255330	8122.000000
